Year,Festival,1st place,2nd place,3rd place,1st place (additional),2nd place (additional),3rd place (additional)
2008,Alive Fires,Sharapov Fedor,Mel,Kazenas Dmitry,,,
2009,Alive Fires,Maltsev Anton,Rem,Pevnitskaya Anna,,,
2010,Moscow Fire Cup,Fly,Rem,Libero,,,
2010,Alive Fires,Pevnitskaya Anna,Lis,Zagidullin Alexander,,,
2011,WAFEst,Druulian,,,,,
2011,Alive Fires,Sitenko Ksenia,Paperdoll,Matveev Egor,,,
2011,Moscow Fire Cup,Fly,Kletsina Katerina,Druulian,,,
2011,Siberian Light Fest,Nikolaichuk Dmitry,,,,,
2011,Siberian Fire Fest,Putrenko Alexander,Richina Ekaterina,Kadnikova Maria,,,
2012,Moscow Fire Cup,Begichev Ivan,Matveev Egor,Kadnikova Maria,,,
2012,LiP,Filippov Andrey,Andreeva Alena,Mitrofanov Stepan,,,
2012,Alive Fires,Vesna,Sterenchuk Alexander,Druulian,,,
2012,Siberian Fire Fest,Nikolaichuk Dmitry,Pilipenko Evgenie,Gusev Michail,,,
2013,Siberian Fire Fest,Bajenova Natalia,Putrenko Alexander,Lundiak Tatyana,,,
2013,Ogni Pobedi,Maltsev Anton,Kudinov Konstantin,Lara,,,
2013,LiP,Zamota Mitia,Ignatiev Anatoly,Emelina Anna,,,
2013,Light Cup,Kudinov Konstantin,Maltsev Anton,Lara,,,
2013,Night Of Flame,Maltsev Anton,Kudinov Konstantin,Proniakin Kot Dmitri,,,
2013,Sibirskoie Sianie,Erezjepov Timur,Bajenova Natalia,Romanenko Ivan,,,
2013,Varenichki,Erezjepov Timur,Fedorova Ekaterina,Cukanov Viktor,,,
2013,Alive Fires,Begdash Daria,Mironova Alexandra,Kovaleva Svetlana,,,
2014,Sibirskoie Sianie,Lundiak Tatyana,Fedorov Evgeny,Volkov Ivan,,,
2014,Ogni Vostoka,Liru,Vedrov,Prohorova Ksenia,,Liru,Putrenko Alexander
2014,Alive Fires,Posmitniy Anton,Lui,Begichev Ivan,,,
2014,Ogni Pobedi,Begichev Ivan,Lara,Lebedev Igor,,,
2015,Alive Fires,Rezvanov Sergei,Kister Ekaterina,Rem,,,
2016,Ogni Vostoka,Liru,Rem,Brezitsky Vladislav,,,Poliakov Alexander
2016,LiP,Sharikov Stepan,Mamaeva Galina,Romancova Anna,,,
2016,Ogni Sibiri (Fire),Naimushin Anton,Yarkova Veronica,Lundiak Tatyana,,,
2017,Ogni Sibiri (Fire),Rem,Mel,Pilipenko Evgenie,,,
2017,LiP,Vinogradova Ekaterina,Vaganova Anastasia,Nasibulina Amina,,,
2017,Light Cup,Svezjenceva Olga,Pluzhnikova Daria,Tkachenko Victoria,,,
2017,Klukva,Goroshkova Alena,Plotnikov Artem,Karhaleva Karina,,,Portnov Fedor
2017,Ogni Sibiri (Light),Naimushin Anton,Lundiak Tatyana,Tarasova Maria,,,
2018,Ogni Sibiri (Fire),Karpich Georgy,Zerg,Dzuba Nikolai,,,
2018,LiP,Vasselman Yan,Poliakov Alexander,Plotnikov Artem,,,
2018,WAFEst,Murashov Andrei,Romanov Artem,Lundiak Tatyana,,,
2019,Amber,Zuikova Elena,Terehin Gleb,Pogorelov Sergei,,,
2019,Ogni Sibiri (Fire),Rem,Krasilnikov Nikolai,Nikolaichuk Dmitry,,,
2019,LiP,Rem,Murashov Andrei,,Daria,,
2019,WAFEst,,Rem,Portnov Fedor,,Vasselman Yan,
2019,Igri Ognia,Dzuba Nikolai,Kostenko Daniil,Kremer Alyona,,,Zaiceva Margarita
2020,Amber,Morenko Liza,Pluzhnikova Daria,Zuikova Elena,,,
2021,Ogni Sibiri (Fire),Lundiak Tatyana,Androsova Anna,Inch,,,
2022,Ogni Sibiri (Fire),Savonin Maxim,Kostenko Daniil,Dzuba Nikolai,,,
